Name,Color,Rarity,Level,Cost,Type,AP,HP,Zone,Trait,Link,Skill,Source,Card #,Edition
Corsica Base,Blue,C +,3,3,BASE,-,5,Earth,(OZ) (Stronghold),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, deploy 1 [Tallgeese]((OZ)･AP4･HP2) Unit token. If it is your turn and a card with ""Corsica Base"" in its card name is in your trash, deploy 2 [Leo]((OZ)･AP1･HP1) Unit tokens instead.",ST02,16,1
Rewloola,Red,C,3,2,BASE,-,5,Space,(Neo Zeon) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it.",ST03,15,1
Rewloola,Red,C +,3,2,BASE,-,5,Space,(Neo Zeon) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it.",ST03,15,1
Falmel,Green,C,3,2,BASE,-,5,Space,(Zeon) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.",ST03,16,1
Falmel,Green,C +,3,2,BASE,-,5,Space,(Zeon) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.",ST03,16,1
Archangel,White,C,3,1,BASE,-,5,Space Earth,(Earth Alliance) (Warship),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Choose 1 friendly Unit with <Blocker>. Set it as active. It can't attack during this turn.,ST04,15,1
Archangel,White,C +,3,1,BASE,-,5,Space Earth,(Earth Alliance) (Warship),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Choose 1 friendly Unit with <Blocker>. Set it as active. It can't attack during this turn.,ST04,15,1
Vesalius,Red,C,3,1,BASE,-,5,Space,(ZAFT) (Warship),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：Choose 1 friendly Unit. It gets AP+1 during this turn.,ST04,16,1
Vesalius,Red,C +,3,1,BASE,-,5,Space,(ZAFT) (Warship),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：Choose 1 friendly Unit. It gets AP+1 during this turn.,ST04,16,1
White Base,Blue,C,3,2,BASE,-,5,Space Earth,(Earth Federation) (White Base Team) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Deploy 1 [Gundam]((White Base Team)･AP3･HP3) Unit token if you have 0 Units in play, deploy 1 [Guncannon]((White Base Team)･AP2･HP2) Unit token if you have only 1 Unit in play, or deploy 1 [Guntank]((White Base Team)･AP1･HP1) Unit token if you have 2 or more Units in play.",ST01,15,β
"Asticassia School of Technology, Earth House",White,C,2,1,BASE,-,5,Space,(Academy) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：All friendly Link Units get AP+1 during this turn.,ST01,16,β
Saint Gabriel Institute,Green,C,2,2,BASE,-,5,Earth,(Academy) (Stronghold),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, look at the top 2 cards of your deck and return 1 to the top and 1 to the bottom.",ST02,15,β
Falmel,Green,C,3,2,BASE,-,5,Space,(Zeon) (Warship),-,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, if it is your turn, deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.",ST03,16,β
Archangel,White,C,3,1,BASE,-,5,Space Earth,(Earth Alliance) (Warship),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】【Once per Turn】②：Choose 1 friendly Unit with <Blocker>. Set it as active. It can't attack during this turn.,ST04,15,β
Side 7,Blue,C,1,1,BASE,-,4,Space,(Earth Federation) (Stronghold),-,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：Choose 1 friendly Unit. It recovers 1 HP.,GD01,124,β
Intercept Orders,Blue,R,4,2,COMMAND,-,-,-,-,-,【Burst】Choose 1 enemy Unit with 5 or less HP. Rest it. 【Main】/【Action】Choose 1 to 2 enemy Units with 3 or less HP. Rest them.,GD01,99,1
A Show of Resolve,Blue,U,4,3,COMMAND,-,-,-,-,-,【Main】Draw 2.,GD01,100,1
A Show of Resolve,Blue,U +,4,3,COMMAND,-,-,-,-,-,【Main】Draw 2.,GD01,100,1
Deep Devotion,Blue,R,2,1,COMMAND,1,0,-,(OZ),-,【Main】/【Action】Choose 1 friendly Link Unit. It recovers 3 HP. 【Pilot】[Lucrezia Noin],GD01,101,1
Securing the Supply Line,Blue,U,4,2,COMMAND,-,-,-,-,-,【Main】All friendly Units that are Lv.4 or lower recover 2 HP.,GD01,102,1
The Stubborn Cog,Blue,C,1,1,COMMAND,0,1,-,(Earth Federation),-,【Main】Choose 1 active friendly (Earth Federation) Unit and 1 active enemy Unit. Rest them. 【Pilot】[Daguza Mackle],GD01,103,1
Signs of a Revolution,Blue,C,3,2,COMMAND,-,-,-,-,-,【Burst】Draw 1. 【Main】Choose 1 rested enemy Unit. Deal 2 damage to it.,GD01,104,1
"Citizens, Take a Stand!",Green,R,4,1,COMMAND,-,-,-,-,-,【Burst】Add this card to your hand. 【Main】All your Units get AP+2 during this turn.,GD01,105,1
"Citizens, Take a Stand!",Green,R +,4,1,COMMAND,-,-,-,-,-,【Burst】Add this card to your hand. 【Main】All your Units get AP+2 during this turn.,GD01,105,1
Fortress Defense,Green,R,5,2,COMMAND,1,0,-,(Zeon),-,【Main】Deploy 2 [Zaku Ⅱ]((Zeon)･AP1･HP1) Unit tokens. 【Pilot】[Dozle Zabi],GD01,106,1
First Contact,Green,U,3,3,COMMAND,-,-,-,-,-,【Burst】Place 1 EX Resource. 【Main】Place 1 rested Resource.,GD01,107,1
Strategic Arms,Green,U,6,6,COMMAND,-,-,-,-,-,【Main】Deal 2 damage to all Units with <Blocker>.,GD01,108,1
The Path to Victory or Defeat,Green,C,5,1,COMMAND,-,-,-,-,-,【Main】Look at the top 5 cards of your deck. You may reveal 1 (Operation Meteor)/(G Team) Unit card/Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.,GD01,109,1
Rasid's Orders,Green,C,3,1,COMMAND,0,1,-,(Maganac Corps),-,"【Main】/【Action】Choose 1 Unit that is Lv.4 or higher. During this turn, it may choose an active enemy Unit with 6 or less AP as its attack target. 【Pilot】[Rasid Kurama]",GD01,110,1
Battle of Aces,Red,R,3,2,COMMAND,-,-,-,-,-,【Burst】Choose 1 enemy Unit. Deal 2 damage to it. 【Main】/【Action】Choose 1 damaged enemy Unit. Deal 3 damage to it.,GD01,111,1
Battle of Aces,Red,R +,3,2,COMMAND,-,-,-,-,-,【Burst】Choose 1 enemy Unit. Deal 2 damage to it. 【Main】/【Action】Choose 1 damaged enemy Unit. Deal 3 damage to it.,GD01,111,1
Extreme Hatred,Red,R,6,1,COMMAND,1,0,-,(Zeon) (Newtype),-,"【Main】Choose 2 of your active Units. Rest them. If you do, choose 1 enemy Unit. Deal 3 damage to it. 【Pilot】[Loni Garvey]",GD01,112,1
The Desert Tiger,Red,U,3,1,COMMAND,1,0,-,(ZAFT) (Coordinator),-,【Main】/【Action】Choose 1 friendly (ZAFT) Unit. It gets AP+3 during this turn. 【Pilot】[Andrew Waldfeld],GD01,113,1
Assault on Torrington Base,Red,C,1,1,COMMAND,1,0,-,(Zeon),-,【Action】Choose 2 friendly Units. They get AP+1 during this turn. 【Pilot】[Yonem Kirks],GD01,114,1
Zeon Remnant Forces,Red,U,2,1,COMMAND,-,-,-,-,-,【Main】/【Action】Choose 1 enemy Unit. Deal 1 damage to it.,GD01,115,1
Stealth Stratagem,Red,C,2,1,COMMAND,0,1,-,(ZAFT) (Coordinator),-,【Main】/【Action】Choose 1 enemy Unit with 2 or less AP. Deal 2 damage to it. 【Pilot】[Nicol Amarfi],GD01,116,1
The Witch and the Bride,White,R,5,2,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit with 5 or less HP. Return it to its owner's hand.,GD01,117,1
The Witch and the Bride,White,R +,5,2,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit with 5 or less HP. Return it to its owner's hand.,GD01,117,1
Overflowing Affection,White,U,2,1,COMMAND,-,-,-,-,-,"【Main】Draw 2. Then, discard 1.",GD01,118,1
Overflowing Affection,White,U +,2,1,COMMAND,-,-,-,-,-,"【Main】Draw 2. Then, discard 1.",GD01,118,1
Iron-Fisted Discipline,White,R,2,1,COMMAND,1,0,-,(Academy),-,【Main】/【Action】Choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this turn. 【Pilot】[Chuatury Panlunch],GD01,119,1
Naval Bombardment,White,C,2,1,COMMAND,-,-,-,-,-,【Burst】Choose 1 enemy Unit. It gets AP-3 during this turn. 【Action】Choose 1 friendly Unit with <Blocker>. It gets AP+3 during this turn.,GD01,120,1
Midair Modifications,White,U,3,2,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】Choose 1 rested Unit with <Blocker>. Set it as active. It can't attack during this turn.,GD01,121,1
Covert Operative,White,C,3,1,COMMAND,1,0,-,(Academy),-,"【Main】Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand. If you have a Link Unit in play, choose 1 enemy Unit with 4 or less HP instead. 【Pilot】[Shaddiq Zenelli]",GD01,122,1
Thoroughly Damaged,Blue,C +,2,1,COMMAND,0,1,-,(Earth Federation) (White Base Team),-,【Main】Choose 1 rested enemy Unit. Deal 1 damage to it. 【Pilot】[Hayato Kobayashi],ST01,12,1
Kai's Resolve,Blue,C,3,1,COMMAND,1,0,-,(Earth Federation) (White Base Team),-,【Main】Choose 1 friendly Unit. It recovers 3 HP. 【Pilot】[Kai Shiden],ST01,13,1
Kai's Resolve,Blue,C +,3,1,COMMAND,1,0,-,(Earth Federation) (White Base Team),-,【Main】Choose 1 friendly Unit. It recovers 3 HP. 【Pilot】[Kai Shiden],ST01,13,1
Unforeseen Incident,White,C,3,1,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit. It gets AP-3 during this turn.,ST01,14,1
Unforeseen Incident,White,C +,3,1,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit. It gets AP-3 during this turn.,ST01,14,1
Simultaneous Fire,Green,C,4,1,COMMAND,1,1,-,(Operation Meteor),-,"【Main】Choose 1 of your Units. It gains <Breach 3> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【Pilot】[Trowa Barton]",ST02,12,1
Simultaneous Fire,Green,C +,4,1,COMMAND,1,1,-,(Operation Meteor),-,"【Main】Choose 1 of your Units. It gains <Breach 3> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.) 【Pilot】[Trowa Barton]",ST02,12,1
Peaceful Timbre,Green,C,4,1,COMMAND,1,1,-,(Operation Meteor),-,"【Action】During this battle, your shield area cards can't receive damage from enemy Units that are Lv.4 or lower. 【Pilot】[Quatre Raberba Winner]",ST02,13,1
Peaceful Timbre,Green,C +,4,1,COMMAND,1,1,-,(Operation Meteor),-,"【Action】During this battle, your shield area cards can't receive damage from enemy Units that are Lv.4 or lower. 【Pilot】[Quatre Raberba Winner]",ST02,13,1
Siege Ploy,Blue,C,3,1,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit with 5 or less HP. Rest it.,ST02,14,1
Siege Ploy,Blue,C +,3,1,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit with 5 or less HP. Rest it.,ST02,14,1
Indignation,Red,C,2,1,COMMAND,1,-,-,(Neo Zeon),-,【Main】/【Action】Choose 1 friendly Unit. It gets AP+2 during this turn. 【Pilot】[Angelo Sauper],ST03,12,1
Indignation,Red,C +,2,1,COMMAND,1,-,-,(Neo Zeon),-,【Main】/【Action】Choose 1 friendly Unit. It gets AP+2 during this turn. 【Pilot】[Angelo Sauper],ST03,12,1
Close Combat,Red,C,2,2,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit. Deal 2 damage to it.,ST03,13,1
Close Combat,Red,C +,2,2,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit. Deal 2 damage to it.,ST03,13,1
The Blue Giant,Green,C,4,1,COMMAND,1,1,-,(Zeon),-,【Action】Choose 1 friendly Unit. It can't receive battle damage from enemy Units with 2 or less AP during this battle. 【Pilot】[Ramba Ral],ST03,14,1
The Blue Giant,Green,C +,4,1,COMMAND,1,1,-,(Zeon),-,【Action】Choose 1 friendly Unit. It can't receive battle damage from enemy Units with 2 or less AP during this battle. 【Pilot】[Ramba Ral],ST03,14,1
Striker Pack,White,C,4,2,COMMAND,-,-,-,-,-,"【Burst】If you have no (Earth Alliance) Unit tokens in play, deploy 1 [Aile Strike Gundam]((Earth Alliance)･AP3･HP3･<Blocker>) Unit token. 【Main】If you have no (Earth Alliance) Unit tokens in play, deploy 1 [Sword Strike Gundam]((Earth Alliance)･AP4･HP2･<Blocker>) or 1 [Launcher Strike Gundam]((Earth Alliance)･AP2･HP4･<Blocker>) Unit token.",ST04,12,1
Striker Pack,White,C +,4,2,COMMAND,-,-,-,-,-,"【Burst】If you have no (Earth Alliance) Unit tokens in play, deploy 1 [Aile Strike Gundam]((Earth Alliance)･AP3･HP3･<Blocker>) Unit token. 【Main】If you have no (Earth Alliance) Unit tokens in play, deploy 1 [Sword Strike Gundam]((Earth Alliance)･AP4･HP2･<Blocker>) or 1 [Launcher Strike Gundam]((Earth Alliance)･AP2･HP4･<Blocker>) Unit token.",ST04,12,1
Hawk of Endymion,White,C,2,1,COMMAND,1,0,-,(Earth Alliance),-,【Main】/【Action】Choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand. 【Pilot】[Mu La Flaga],ST04,13,1
Hawk of Endymion,White,C +,2,1,COMMAND,1,0,-,(Earth Alliance),-,【Main】/【Action】Choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand. 【Pilot】[Mu La Flaga],ST04,13,1
The Magic Bullet of Dusk,Red,C,3,1,COMMAND,0,1,-,(ZAFT) (Coordinator),-,"【Main】/【Action】Choose 1 friendly Unit that is Lv.2 or lower. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.) 【Pilot】[Miguel Ayman]",ST04,14,1
The Magic Bullet of Dusk,Red,C +,3,1,COMMAND,0,1,-,(ZAFT) (Coordinator),-,"【Main】/【Action】Choose 1 friendly Unit that is Lv.2 or lower. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.) 【Pilot】[Miguel Ayman]",ST04,14,1
Thoroughly Damaged,Blue,C,2,1,COMMAND,0,1,-,(Earth Federation) (White Base Team),-,【Main】Choose 1 rested enemy Unit. Deal 1 damage to it. 【Pilot】[Hayato Kobayashi],ST01,12,β
Kai's Resolve,Blue,C,3,1,COMMAND,1,0,-,(Earth Federation) (White Base Team),-,【Main】Choose 1 friendly Unit. It recovers 3 HP. 【Pilot】[Kai Shiden],ST01,13,β
Simultaneous Fire,Green,C,4,1,COMMAND,1,1,-,(Operation Meteor),-,"【Main】Choose 1 of your Units. It gains <Breach 3> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.) 【Pilot】[Trowa Barton]",ST02,12,β
Peaceful Timbre,Green,C,4,1,COMMAND,1,1,-,(Operation Meteor),-,"【Action】During this battle, your shield area cards can't receive damage from enemy Units that are Lv.4 or lower. 【Pilot】[Quatre Raberba Winner]",ST02,13,β
Hawk of Endymion,White,C,2,1,COMMAND,1,0,-,(Earth Alliance),-,【Main】/【Action】Choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand. 【Pilot】[Mu La Flaga],ST04,13,β
Intercept Orders,Blue,R,4,2,COMMAND,-,-,-,-,-,【Burst】Choose 1 enemy Unit with 5 or less HP. Rest it. 【Main】/【Action】Choose 1 to 2 enemy Units with 3 or less HP. Rest them.,GD01,99,β
A Show of Resolve,Blue,U,4,3,COMMAND,-,-,-,-,-,【Main】Draw 2.,GD01,100,β
A Show of Resolve,Blue,U +,4,3,COMMAND,-,-,-,-,-,【Main】Draw 2.,GD01,100,β
"Citizens, Take a Stand!",Green,R,4,1,COMMAND,-,-,-,-,-,【Burst】Add this card to your hand. 【Main】All your Units get AP+2 during this turn.,GD01,105,β
First Contact,Green,U,3,3,COMMAND,-,-,-,-,-,【Burst】Place 1 EX Resource. 【Main】Place 1 rested Resource.,GD01,107,β
First Contact,Green,U +,3,3,COMMAND,-,-,-,-,-,【Burst】Place 1 EX Resource. 【Main】Place 1 rested Resource.,GD01,107,β
The Witch and the Bride,White,R,5,2,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit with 5 or less HP. Return it to its owner's hand.,GD01,117,β
Overflowing Affection,White,U,2,1,COMMAND,-,-,-,-,-,"【Main】Draw 2. Then, discard 1.",GD01,118,β
Overflowing Affection,White,U +,2,1,COMMAND,-,-,-,-,-,"【Main】Draw 2. Then, discard 1.",GD01,118,β
Naval Bombardment,White,C,2,1,COMMAND,-,-,-,-,-,【Burst】Choose 1 enemy Unit. It gets AP-3 during this turn. 【Action】Choose 1 friendly Unit with <Blocker>. It gets AP+3 during this turn.,GD01,120,β
Unforeseen Incident,White,C,3,1,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit. It gets AP-3 during this turn.,ST01,14,P
Unforeseen Incident,White,C +,3,1,COMMAND,-,-,-,-,-,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit. It gets AP-3 during this turn.,ST01,14,P
Overflowing Affection,White,U,2,1,COMMAND,-,-,-,-,-,"【Main】Draw 2. Then, discard 1.",GD01,118,P
EX Base,-,C,-,-,EX BASE,-,3,-,-,-,-,EXB,1,1
EX Base,-,C,-,-,EX BASE,-,3,-,-,-,"(At the start of the game, place 1 active EX Base as your shield area's base.)",EXB,1,β
EX Base,-,P,-,-,EX BASE,-,3,-,-,-,"(At the start of the game, place 1 active EX Base as your shield area's base.)",EXBP,1,P
EX Base,-,P,-,-,EX BASE,-,3,-,-,-,"(At the start of the game, place 1 active EX Base as your shield area's base.)",EXBP,2,P
EX Base,-,P,-,-,EX BASE,-,3,-,-,-,"(At the start of the game, place 1 active EX Base as your shield area's base.)",EXBP,3,P
EX Base,-,P,-,-,EX BASE,-,3,-,-,-,"(At the start of the game, place 1 active EX Base as your shield area's base.)",EXBP,4,P
EX Base,-,P,-,-,EX BASE,-,3,-,-,-,"(At the start of the game, place 1 active EX Base as your shield area's base.)",EXBP,5,P
EX Resource,-,C,-,-,EX RESOURCE,-,-,-,-,-,-,EXR,1,1
EX Resource,-,C,-,-,EX RESOURCE,-,-,-,-,-,"(At the start of the game, the second-turn player places 1 EX Resource into their resource area.) (Rest an EX Resource then exile it from the game when paying a cost.)",EXR,1,β
EX Resource,-,P,-,-,EX RESOURCE,-,-,-,-,-,"(At the start of the game, the second-turn player places 1 EX Resource into their resource area.) (Rest an EX Resource then exile it from the game when paying a cost.)",EXRP,1,P
EX Resource,-,P,-,-,EX RESOURCE,-,-,-,-,-,"(At the start of the game, the second-turn player places 1 active EX Resource into their resource area.) (Rest an EX Resource then exile it from the game when paying a cost.)",EXRP,2,P
Sayla Mass,Blue,R,3,1,PILOT,1,1,-,(Earth Federation) (white Base Team) (Newtype),-,"【Burst】Add this card to your hand. While this Unit is blue, it gains <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)",GD01,87,1
Sayla Mass,Blue,R +,3,1,PILOT,1,1,-,(Earth Federation) (white Base Team) (Newtype),-,"【Burst】Add this card to your hand. While this Unit is blue, it gains <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)",GD01,87,1
Banagher Links,Blue,U,5,1,PILOT,2,2,-,(Civilian) (Newtype),-,【Burst】Add this card to your hand. 【When Linked】Draw 1.,GD01,88,1
Riddhe Marcenas,Blue,C,3,1,PILOT,1,1,-,(Earth Federation),-,"【Burst】Add this card to your hand. While this Unit has <Repair>, it gets AP+1.",GD01,89,1
Duo Maxwell,Green,R,4,1,PILOT,1,2,-,(Operation Meteor),-,【Burst】Add this card to your hand. 【During Link】This Unit's AP can't be reduced by enemy effects.,GD01,90,1
Duo Maxwell,Green,R +,4,1,PILOT,1,2,-,(Operation Meteor),-,【Burst】Add this card to your hand. 【During Link】This Unit's AP can't be reduced by enemy effects.,GD01,90,1
Chang Wufei,Green,U,4,1,PILOT,2,1,-,(Operation Meteor),-,"【Burst】Add this card to your hand. During your turn, while this Unit has <Breach>, it can't receive battle damage from enemy Units with 3 or less AP.",GD01,91,1
M'Quve,Green,C,3,1,PILOT,1,1,-,(Zeon),-,"【Burst】Add this card to your hand. While this Unit is (Zeon), it gains <Breach 1>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",GD01,92,1
Marida Cruz,Red,R,4,1,PILOT,2,1,-,(Neo Zeon) (Cyber-Newtype),-,【Burst】Add this card to your hand. 【During Link】【Attack】Choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it.,GD01,93,1
Marida Cruz,Red,R +,4,1,PILOT,2,1,-,(Neo Zeon) (Cyber-Newtype),-,【Burst】Add this card to your hand. 【During Link】【Attack】Choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it.,GD01,93,1
Yzak Jule,Red,U,3,1,PILOT,1,1,-,(ZAFT) (Coordinator),-,"【Burst】Add this card to your hand. 【Once per Turn】 When an enemy Link Unit is destroyed with damage while this Unit is attacking, draw 1.",GD01,94,1
Dearka Elthman,Red,C,3,1,PILOT,1,1,-,(ZAFT) (Coordinator),-,"【Burst】Add this card to your hand. 【When Linked】Discard 1. If you do, draw 1.",GD01,95,1
Cagalli Yula Athha,White,R,4,1,PILOT,1,1,-,(Orb),-,"【Burst】Add this card to your hand. While this Unit is white, it gains <Blocker>. (Rest this Unit to change the attack target to it.)",GD01,96,1
Cagalli Yula Athha,White,R +,4,1,PILOT,1,1,-,(Orb),-,"【Burst】Add this card to your hand. While this Unit is white, it gains <Blocker>. (Rest this Unit to change the attack target to it.)",GD01,96,1
Guel Jeturk,White,U,3,1,PILOT,1,1,-,(Academy),-,"【Burst】Add this card to your hand. 【Activate･Main】【Once per Turn】If your opponent has 8 or more cards in their hand, set this Unit as active. It can't attack during this turn.",GD01,97,1
